央视频道,#genre#
美人,rtsp://10.11.43.21/PLTV/88888912/224/3221225809/10000100000000060000000000331301_0.smil
鉴赏,rtsp://10.11.43.21/PLTV/88888912/224/3221226069/10000100000000060000000000662083_0.smil
精选,rtsp://10.11.43.21/PLTV/88888912/224/3221226065/10000100000000060000000000661884_0.smil
好学生,rtsp://10.11.43.21/PLTV/88888912/224/3221225822/10000100000000060000000000377237_0.smil
全纪实,rtsp://10.11.43.21/PLTV/88888912/224/3221226059/10000100000000060000000000660271_0.smil
动漫秀场,rtsp://10.11.43.21/PLTV/88888912/224/3221226051/10000100000000060000000000660108_0.smil
金色频道,rtsp://10.11.43.21/PLTV/88888912/224/3221226061/10000100000000060000000000661731_0.smil
喜剧影院,rtsp://10.11.43.21/PLTV/88888912/224/3221226070/10000100000000060000000000662147_0.smil
音乐现场,rtsp://10.11.43.21/PLTV/88888912/224/3221226060/10000100000000060000000000661732_0.smil
家庭影院,rtsp://10.11.43.21/PLTV/88888912/224/3221226072/10000100000000060000000000662608_0.smil
经典电影,rtsp://10.11.43.21/PLTV/88888912/224/3221226049/10000100000000060000000000660101_0.smil
动作影院,rtsp://10.11.43.21/PLTV/88888912/224/3221226073/10000100000000060000000000662607_0.smil
相声小品,rtsp://10.11.43.21/PLTV/88888912/224/3221226052/10000100000000060000000000660107_0.smil
魅力时尚,rtsp://10.11.43.21/PLTV/88888912/224/3221226047/10000100000000060000000000660092_0.smil
游戏风云,rtsp://10.11.43.21/PLTV/88888912/224/3221226053/10000100000000060000000000660229_0.smil
收视指南,rtsp://10.11.43.21/PLTV/88888912/224/3221226076/10000100000000060000000000662621_0.smil
